"LIMIT_BAL","SEX","EDU_GRAD_SCHOOL","EDU_UNIVERSITY","EDU_HIGH_SCHOOL","EDU_OTHER","MARITAL_MARRIED","MARITAL_SINGLE","MARITAL_OTHER","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","DELTA_1","DELTA_2","DELTA_3","DELTA_4","DELTA_5","DELTA_6","default payment next month"
20000,1,0,1,0,0,1,0,0,24,2,2,-1,-1,-2,-2,3913,2413,689,0,0,0,1
120000,1,0,1,0,0,0,1,0,26,-1,2,0,0,0,2,2682,725,1682,2272,3455,1261,1
90000,1,0,1,0,0,0,1,0,34,0,0,0,0,0,0,27721,12527,12559,13331,13948,10549,0
50000,1,0,1,0,0,1,0,0,37,0,0,0,0,0,0,44990,46214,48091,27214,27890,28547,0
50000,0,0,1,0,0,1,0,0,57,-1,0,-1,0,0,0,6617,-31011,25835,11940,18457,18452,0
50000,0,1,0,0,0,0,1,0,37,0,0,0,0,0,0,61900,55254,56951,18394,18619,19224,0
500000,0,1,0,0,0,0,1,0,29,0,0,0,0,0,0,312965,372023,407007,522414,469253,460174,0
100000,1,0,1,0,0,0,1,0,23,0,-1,-1,0,0,-1,11496,-221,601,-360,-1846,-975,0
140000,1,0,0,1,0,1,0,0,28,0,0,2,0,0,0,7956,14096,11676,11211,10793,2719,0
20000,0,0,0,1,0,0,1,0,35,-2,-2,-2,-2,-1,-1,0,0,0,-13007,11885,13912,0
200000,1,0,0,1,0,0,1,0,34,0,0,2,0,0,-1,8767,9775,5485,2213,-1910,3665,0
260000,1,1,0,0,0,0,1,0,51,-1,-1,-1,-1,-1,2,-9557,11704,1383,-13784,22287,10028,0
630000,1,0,1,0,0,0,1,0,41,-1,0,-1,-1,-1,-1,11137,0,0,0,3630,2870,0
70000,0,0,1,0,0,0,1,0,30,1,2,2,0,0,2,62602,67369,62701,63782,34637,36894,1
250000,0,1,0,0,0,0,1,0,29,0,0,0,0,0,0,67887,64060,60561,56696,53875,52512,0
50000,1,0,0,1,0,0,0,1,23,1,2,0,0,0,0,50614,27673,27016,27571,28231,29111,0
